"NOC","count"
"USA","545"
"EUN","475"
"GER","463"
"ESP","422"
"GBR","371"
"FRA","339"
"ITA","304"
"CAN","295"
"AUS","279"
"JPN","256"
"CHN","244"
"KOR","226"
"HUN","217"
"TCH","208"
"NED","201"
"POL","201"
"SWE","187"
"BRA","182"
"CUB","176"
"ROU","173"
"BUL","138"
"NZL","134"
"DEN","110"
"MEX","102"
"SUI","102"
"AUT","102"
"RSA","93"
"POR","90"
"FIN","88"
"ARG","84"
"NOR","83"
"EGY","75"
"PUR","71"
"GRE","70"
"BEL","68"
"PRK","64"
"IRL","58"
"IOA","58"
"NGR","55"
"IND","52"
"KEN","49"
"COL","49"
"LTU","47"
"THA","46"
"MAR","44"
"INA","42"
"TUR","41"
"CRO","39"
"HKG","38"
"EST","37"
"IRI","36"
"JAM","36"
"SLO","35"
"ALG","35"
"LAT","34"
"GHA","34"
"MGL","33"
"DOM","32"
"KUW","32"
"TPE","31"
"ISR","30"
"QAT","28"
"ANG","28"
"PAK","27"
"PAR","27"
"ISL","27"
"VEN","26"
"PHI","26"
"MAS","26"
"ISV","25"
"GUM","22"
"SEN","20"
"ETH","20"
"BER","20"
"ZIM","19"
"FIJ","18"
"CYP","17"
"COD","17"
"BAR","17"
"SMR","17"
"CRC","16"
"PER","16"
"URU","16"
"CAF","15"
"SGP","14"
"BAH","14"
"GUA","14"
"UAE","13"
"ECU","13"
"ANT","13"
"BOL","13"
"MAD","13"
"PNG","13"
"CIV","13"
"TUN","13"
"MRI","13"
"CHI","12"
"LIB","12"
"SLE","11"
"SEY","11"
"SRI","11"
"BIZ","10"
"BIH","10"
"RWA","10"
"HON","10"
"BRN","10"
"CAY","10"
"ZAM","9"
"TAN","9"
"KSA","9"
"DJI","8"
"SYR","8"
"UGA","8"
"YEM","8"
"NCA","8"
"AND","8"
"IRQ","8"
"GUI","8"
"CMR","8"
"HAI","7"
"MDV","7"
"ALB","7"
"TTO","7"
"CGO","7"
"GEQ","7"
"LIE","7"
"VIE","7"
"LUX","6"
"SUR","6"
"BAN","6"
"MOZ","6"
"LES","6"
"NAM","6"
"VAN","6"
"VIN","6"
"LAO","6"
"TOG","6"
"MLT","6"
"GUY","6"
"BHU","6"
"BOT","6"
"SUD","6"
"BEN","6"
"CHA","6"
"MTN","6"
"SWZ","6"
"SAM","5"
"OMA","5"
"GAB","5"
"ARU","5"
"TGA","5"
"MLI","5"
"GAM","5"
"LBA","5"
"PAN","5"
"MAW","4"
"BUR","4"
"IVB","4"
"MYA","4"
"JOR","4"
"AHO","4"
"GRN","4"
"ESA","4"
"ASA","3"
"NIG","3"
"NEP","2"
"MON","2"
"COK","2"
"SOL","1"
"URS","0"
"ROT","0"
"KIR","0"
"PLW","0"
"MAL","0"
"STP","0"
"GEO","0"
"UAR","0"
"KOS","0"
"CRT","0"
"VNM","0"
"FSM","0"
"BDI","0"
"COM","0"
"UKR","0"
"UZB","0"
"AFG","0"
"ARM","0"
"PLE","0"
"SVK","0"
"GDR","0"
"CPV","0"
"NFL","0"
"GBS","0"
"WIF","0"
"NRU","0"
"AZE","0"
"BOH","0"
"SSD","0"
"ERI","0"
"MDA","0"
"RHO","0"
"YMD","0"
"NBO","0"
"SAA","0"
"LBR","0"
"SOM","0"
"UNK","0"
"SKN","0"
"SCG","0"
"TJK","0"
"KAZ","0"
"LCA","0"
"BRU","0"
"TUV","0"
"MHL","0"
"YAR","0"
"DMA","0"
"RUS","0"
"TKM","0"
"ANZ","0"
"TLS","0"
"YUG","0"
"MNE","0"
"FRG","0"
"CZE","0"
"CAM","0"
"MKD","0"
"KGZ","0"
"SRB","0"
"BLR","0"
