"ID","Name","Sport","Event","NOC","Medal"
54409,"Larsen Alan Jensen","Swimming","Swimming Men's 1,500 metres Freestyle","USA","Silver"
25615,"David Dave Davies","Swimming","Swimming Men's 1,500 metres Freestyle","GBR","Bronze"
44569,"Grant George Hackett","Swimming","Swimming Men's 1,500 metres Freestyle","AUS","Gold"
101924,"Markus Antonius Rogan","Swimming","Swimming Men's 100 metres Backstroke","AUT","Silver"
82156,"Tomomi Morita","Swimming","Swimming Men's 100 metres Backstroke","JPN","Bronze"
92771,"Aaron Wells Peirsol","Swimming","Swimming Men's 100 metres Backstroke","USA","Gold"
60893,"Kosuke Kitajima","Swimming","Swimming Men's 100 metres Breaststroke","JPN","Gold"
30298,"Hugues Duboscq","Swimming","Swimming Men's 100 metres Breaststroke","FRA","Bronze"
45684,"Brendan Joseph Hansen","Swimming","Swimming Men's 100 metres Breaststroke","USA","Silver"
108781,"Andriy Viktorovych Serdinov","Swimming","Swimming Men's 100 metres Butterfly","UKR","Bronze"
94406,"Michael Fred Phelps, II","Swimming","Swimming Men's 100 metres Butterfly","USA","Gold"
23868,"Ian Lowell Crocker","Swimming","Swimming Men's 100 metres Butterfly","USA","Silver"
107355,"Roland Mark Schoeman","Swimming","Swimming Men's 100 metres Freestyle","RSA","Silver"
120087,"Ian James Thorpe","Swimming","Swimming Men's 100 metres Freestyle","AUS","Bronze"
124336,"Pieter Cornelis Martijn van den Hoogenband","Swimming","Swimming Men's 100 metres Freestyle","NED","Gold"
92771,"Aaron Wells Peirsol","Swimming","Swimming Men's 200 metres Backstroke","USA","Gold"
101924,"Markus Antonius Rogan","Swimming","Swimming Men's 200 metres Backstroke","AUT","Silver"
35886,"Rzvan Ionu Florea","Swimming","Swimming Men's 200 metres Backstroke","ROU","Bronze"
45684,"Brendan Joseph Hansen","Swimming","Swimming Men's 200 metres Breaststroke","USA","Bronze"
44410,"Dniel Gyurta","Swimming","Swimming Men's 200 metres Breaststroke","HUN","Silver"
60893,"Kosuke Kitajima","Swimming","Swimming Men's 200 metres Breaststroke","JPN","Gold"
94406,"Michael Fred Phelps, II","Swimming","Swimming Men's 200 metres Butterfly","USA","Gold"
91786,"Stephen Benjamin Steve Parry","Swimming","Swimming Men's 200 metres Butterfly","GBR","Bronze"
132328,"Takashi Yamamoto","Swimming","Swimming Men's 200 metres Butterfly","JPN","Silver"
